Method,Mean W1 mean,Mean W1 std,Max W1 mean,Max W1 std,Mean Relative L2 Error mean,Mean Relative L2 Error std
SBPINN,2.16821431E-02,6.01429514E-03,2.91838643E-02,9.44031759E-03,1.52157759E-02,6.11027051E-03
Score-fPINN,2.79507549E-02,5.54962713E-03,3.93590657E-02,4.08706906E-03,2.52095096E-02,1.65469746E-02
