method,configuration,relative_L2_error,L1_error,Hellinger_distance,mass_deviation,negative_mass
SBPINN,105730 parameters,3.12455780E-02,3.04216018E-02,1.56020755E-02,0.00000000E+00,0.00000000E+00
Dense spectral periodic Q1 FEM,40x40,4.38510848E-02,3.85376715E-02,1.81364772E-02,3.46217426E-05,0.00000000E+00
