method,n,final_mean_w_mean,final_mean_w_std,final_max_w_mean,final_max_w_std,mass_dev_mean,mass_dev_std,total_time_mean,total_time_std,gl_calls_mean,gl_calls_std,target_success_n,target_time_mean,target_time_std,target_gl_mean,target_gl_std
homotopy,5,0.023983816265645424,0.009082570944781498,0.026470887228469513,0.010607503434287152,0.0027373081039624514,0.002530902085776751,224.13367260047235,1.2417727973783372,4000.0,0.0,5,73.28614686040673,21.74771772127234,420.0,521.5361924162119
no_score,5,0.08547705795120908,0.002543414280754804,0.11207385824271117,0.003636076087165056,0.0028581405041444427,0.00012995487500476385,206.84223218092228,1.669007191546296,5000.0,0.0,0,nan,nan,nan,nan
