alpha,time,exterior_rel_l1_pct,exterior_rel_l2_pct,exterior_mass_abs_error_pct_points,gl_rel_l2_full_pct,gl_rel_l2_boundary_pct,padding_over_exact_at_absx_12p32
1.5,0.25,6.70224741158652,5.99343870665824,0.03018155224406,0.01391955501055,0.25552831671413,1.129786516038703
1.5,0.5,7.1516431626667805,6.384053265850991,0.05979900264328,0.03037580705392,0.46543887160648,1.141349232720671
1.5,0.75,7.51328782362332,6.69760661442063,0.08754011937591,0.04837021356901,0.64107877050705,1.150975390849355
1.6,0.25,7.53717096976496,6.673569616687961,0.02473782452317,0.0135542195707,0.30362644958990004,1.1473165560836665
1.6,0.5,8.34982194720724,7.373792328594959,0.05076537455735,0.031161384258080002,0.5594705907115,1.166101986724418
1.6,0.75,9.01700858526248,7.94609793069838,0.07619398067622,0.051392368632750006,0.77743958558799,1.1819127349079108
1.7,0.25,8.40141734118899,7.36666893194407,0.01876201577597,0.01273825471216,0.36395634801774,1.1654929872814073
1.7,0.5,9.60988502234113,8.397825635549749,0.03963839280888,0.030762736033209996,0.67039446114966,1.1919539579186629
1.7,0.75,10.6194517639214,9.25410483548885,0.06069544486595,0.0523637773199,0.93175606405869,1.2144918914229992
1.8,0.25,9.29357430861253,8.07189252481077,0.01250073385583,0.01092114512831,0.42772580640676,1.1842110013009983
1.8,0.5,10.942948005483979,9.46632516258279,0.027092860683959996,0.0277393823752,0.77421831533185,1.2188679749914757
1.8,0.75,12.35550318078092,10.65219012030332,0.04224247376851,0.04880459163894,1.06614742174083,1.2489146319189612
