alpha,time,L2_error,Linf_error,Wasserstein
1.5,0.0,2.986832121558086e-08,4.0651735505603526e-08,6.267202442902453e-09
1.5,0.25,0.007659866814231048,0.0055750327730463844,0.019032478932017916
1.5,0.5,0.00936470987135743,0.007149907136623501,0.02014407586533381
1.5,0.75,0.008823418155049768,0.007415768541642054,0.02096335077936108
1.6,0.0,2.986832121558086e-08,4.0651735505603526e-08,6.267202442902453e-09
1.6,0.25,0.005378646646582931,0.003890223816163829,0.016961409919426438
1.6,0.5,0.007116867565013885,0.006108145876032645,0.02301322992736088
1.6,0.75,0.007596568704055372,0.006842912753368846,0.029234558822611462
1.7,0.0,2.986832121558086e-08,4.0651735505603526e-08,6.267202442902453e-09
1.7,0.25,0.003980023834286865,0.0032825748565229462,0.016708980810049286
1.7,0.5,0.005963194963528733,0.005497647436828845,0.02541395805242236
1.7,0.75,0.007221660983135548,0.006717516260322021,0.03280612259387625
1.8,0.0,2.986832121558086e-08,4.0651735505603526e-08,6.267202442902453e-09
1.8,0.25,0.002823569102398185,0.001801887472388214,0.008971634788903286
1.8,0.5,0.003525088099290072,0.0019291865718440437,0.01735077299089624
1.8,0.75,0.005634905370116304,0.004350767435605585,0.028996766603398234
