alpha,beta,seed,mode,time,wasserstein,rel_l2,linf,raw_mass_interior,raw_mass_asymptotic,mass_deviation,mc_inside_fraction,mc_outside_fraction
1.5,0.5,2024,transformed_u,0.25,0.1604119259952972,0.10894953383144278,0.07268227507564423,0.9783926538659998,0.9783926538659998,0.02160734613400017,0.9955333333333334,0.004466666666666619
1.5,0.5,2024,transformed_u,0.5,0.2106894466637646,0.1217305645593642,0.05125636259454813,0.9197393374768104,0.9197393374948696,0.08026066250513042,0.9916666666666667,0.008333333333333304
1.5,0.5,2024,transformed_u,0.75,0.18762116053325917,0.08653397837908139,0.0326628380338215,0.9385538271165258,0.9385539548968556,0.06144604510314444,0.9891,0.01090000000000002
1.5,0.5,2024,transformed_u,1.0,0.12364697645823873,0.057823996804830316,0.02388072023365148,1.050575965599148,1.050685918240799,0.050685918240799044,0.9873,0.012700000000000045
