alpha,time,exterior_x_min,exterior_x_max,exterior_rel_l1,exterior_rel_l2,exterior_exact_mass,exterior_padding_mass,exterior_mass_relative_error,exterior_mass_absolute_error_total_probability,max_abs_density_error,max_abs_density_error_over_boundary_density,padding_over_exact_at_absx_8,padding_over_exact_at_absx_10,padding_over_exact_at_absx_12p32
1.5,0.0,6.0,12.32,15.261635372798546,3.808810573603534,1.9731752914081992e-09,3.2087057115495645e-08,15.261635372798542,3.0113881824087446e-08,4.7085495905010745e-09,0.7749572707179534,585835.7966925169,22019200542342.844,2.2944577611605169e+24
1.6,0.0,6.0,12.32,14.790156872883625,3.7184902252886802,1.9731752914081992e-09,3.115674738903332e-08,14.790156872883621,2.918357209762512e-08,4.67009336041225e-09,0.768627946891385,569222.4647338515,20922649122616.074,2.1351781739982837e+24
1.7,0.0,6.0,12.32,14.33854667998773,3.63223436004727,1.9731752914081992e-09,3.026564131506305e-08,14.33854667998773,2.8292466023654853e-08,4.632247628711258e-09,0.7623991020244876,553080.2593269044,19880705726182.094,1.9869556598038004e+24
1.8,0.0,6.0,12.32,13.905827423520678,3.549799215174194,1.9731752914081992e-09,2.9411810370085742e-08,13.905827423520678,2.7438635078677543e-08,4.595023491562404e-09,0.7562725623809629,537395.820103732,18890650885303.867,1.8490226446224107e+24
