seed,method,time,L2,Linf,Wasserstein,raw_mass,mass_deviation
42,homotopy,0.25,0.0068373338445962915,0.004088547283791301,0.017145746283208183,0.9992220940571922,0.0007779059428077995
42,homotopy,0.5,0.0083437953513908,0.006155935688918701,0.020436470310152582,0.998633013627453,0.0013669863725469522
42,homotopy,0.75,0.009189056028824064,0.00794524186029577,0.02449892450077735,1.0021973062564697,0.0021973062564697443
42,no_score,0.25,0.014270343129363455,0.006339731451643127,0.059440812368811394,0.9962317809297088,0.0037682190702912344
42,no_score,0.5,0.022059551813888148,0.011446750197645461,0.09973235694179411,0.9971299951083308,0.00287000489166922
42,no_score,0.75,0.02682035052515429,0.015515349335557316,0.12810588684168528,0.9974540410144467,0.0025459589855533205
123,homotopy,0.25,0.01424127717085747,0.013790416611081657,0.02037523008099501,0.9976441209505054,0.0023558790494946358
123,homotopy,0.5,0.01997202676722267,0.021153805938166292,0.02451761868400501,0.997420533616872,0.002579466383128004
123,homotopy,0.75,0.021067519950547686,0.022477759759284233,0.025131187672864506,0.9994884263894832,0.0005115736105167912
123,no_score,0.25,0.014943225352401725,0.007209568558073004,0.059923382358138426,0.9968178657908973,0.0031821342091027383
123,no_score,0.5,0.023286600458871657,0.010304901465199134,0.1026141582384744,0.9980805947976465,0.0019194052023534525
123,no_score,0.75,0.02893747993221386,0.015139441433727974,0.13499474766690212,0.9979401039621638,0.002059896037836184
2024,homotopy,0.25,0.007881439613068544,0.004857655537961025,0.018271448983615952,1.0001806572148508,0.0001806572148508323
2024,homotopy,0.5,0.010747089558560727,0.008096652267083115,0.0201988663213842,1.000770127455471,0.0007701274554710036
2024,homotopy,0.75,0.010985588444668456,0.00985985864297323,0.02009538186994656,1.0016224066346573,0.0016224066346572918
2024,no_score,0.25,0.013442595395706414,0.006279615992976717,0.0578757506407658,0.9958852045474127,0.004114795452587305
2024,no_score,0.5,0.02083906270380793,0.010852588610341218,0.09626810227501753,0.9970530214002742,0.0029469785997258136
2024,no_score,0.75,0.02496421145942101,0.014411827572513192,0.1216425440584454,0.9981419490239785,0.0018580509760215413
2025,homotopy,0.25,0.016865666932767632,0.0170192913614175,0.03575999147859148,0.9903153770091195,0.009684622990880465
2025,homotopy,0.5,0.022454821373109165,0.02222317745978858,0.044662940510966934,0.9903777643007925,0.009622235699207504
2025,homotopy,0.75,0.022165485609345805,0.02142704556439423,0.03856101016674843,0.9978567077246652,0.0021432922753348294
2025,no_score,0.25,0.013347644020737159,0.006335460556657901,0.057044154355820664,0.9965804786986986,0.003419521301301409
2025,no_score,0.5,0.02041325658333084,0.01097444781913598,0.09450497029614892,0.9972264233916046,0.0027735766083953894
2025,no_score,0.75,0.024279943608672833,0.014396253410582871,0.11910322994066264,0.9977236117443848,0.0022763882556151582
2026,homotopy,0.25,0.010070091833609936,0.006546342105798825,0.017441086953726717,0.9981794178352478,0.001820582164752227
2026,homotopy,0.5,0.011886575050670338,0.00810142687823201,0.017862517136354568,1.001005258112758,0.0010052581127579785
2026,homotopy,0.75,0.00996581624121571,0.007013957884330957,0.01479882303134386,1.0044213213965607,0.004421321396560707
2026,no_score,0.25,0.01523962769388239,0.007628050629242378,0.061845902159551186,0.9959308482642235,0.004069151735776488
2026,no_score,0.5,0.024104100460690656,0.011026680453983084,0.10550078408949051,0.9973511216110573,0.002648878388942677
2026,no_score,0.75,0.02988144588192236,0.016128014105641186,0.1380375318881124,0.9981104878455924,0.00188951215440758
