seed,method,time,L2,Linf,Wasserstein,raw_mass,mass_deviation
42,homotopy,0.25,0.0068373338445962915,0.004088547283791301,0.017145746283208183,0.9992220940571922,0.0007779059428077995
42,homotopy,0.5,0.0083437953513908,0.006155935688918701,0.020436470310152582,0.998633013627453,0.0013669863725469522
42,homotopy,0.75,0.009189056028824064,0.00794524186029577,0.02449892450077735,1.0021973062564697,0.0021973062564697443
42,no_score,0.25,0.012205304719915456,0.006635897614262198,0.05395967496796242,0.9966716710775618,0.003328328922438173
42,no_score,0.5,0.018546859650687926,0.010800343794683587,0.08837959373155982,0.9973171258730966,0.0026828741269033785
42,no_score,0.75,0.021830889714343046,0.013514361663418906,0.10995961121493472,0.9977081033806166,0.002291896619383449
123,homotopy,0.25,0.01424127717085747,0.013790416611081657,0.02037523008099501,0.9976441209505054,0.0023558790494946358
123,homotopy,0.5,0.01997202676722267,0.021153805938166292,0.02451761868400501,0.997420533616872,0.002579466383128004
123,homotopy,0.75,0.021067519950547686,0.022477759759284233,0.025131187672864506,0.9994884263894832,0.0005115736105167912
123,no_score,0.25,0.013034109786619957,0.00634526461546614,0.05651971091010305,0.9964809413005207,0.003519058699479327
123,no_score,0.5,0.02008943056772273,0.011071128709294775,0.09380505562066205,0.996948463424467,0.0030515365755330315
123,no_score,0.75,0.02375147308550428,0.014242654467968907,0.11720873673842117,0.9977499220977454,0.0022500779022546213
2024,homotopy,0.25,0.007881439613068544,0.004857655537961025,0.018271448983615952,1.0001806572148508,0.0001806572148508323
2024,homotopy,0.5,0.010747089558560727,0.008096652267083115,0.0201988663213842,1.000770127455471,0.0007701274554710036
2024,homotopy,0.75,0.010985588444668456,0.00985985864297323,0.02009538186994656,1.0016224066346573,0.0016224066346572918
2024,no_score,0.25,0.012255924841470069,0.006092923982603415,0.054637919527883036,0.9963768274016902,0.0036231725983097984
2024,no_score,0.5,0.018971166695626693,0.010417263135916788,0.09025010616997507,0.9969448705472712,0.0030551294527287887
2024,no_score,0.75,0.02255217787713927,0.01343660284243453,0.11253336275783786,0.9977372478485265,0.002262752151473535
2025,homotopy,0.25,0.016865666932767632,0.0170192913614175,0.03575999147859148,0.9903153770091195,0.009684622990880465
2025,homotopy,0.5,0.022454821373109165,0.02222317745978858,0.044662940510966934,0.9903777643007925,0.009622235699207504
2025,homotopy,0.75,0.022165485609345805,0.02142704556439423,0.03856101016674843,0.9978567077246652,0.0021432922753348294
2025,no_score,0.25,0.011877795650847752,0.006246061818806492,0.05294288093394178,0.996665345850122,0.0033346541498779914
2025,no_score,0.5,0.018050047072431765,0.010310961556276255,0.08651150843590318,0.9973464783130576,0.0026535216869424394
2025,no_score,0.75,0.02123524083141494,0.013118946371875495,0.10752484365532608,0.9979593490496504,0.002040650950349554
2026,homotopy,0.25,0.010070091833609936,0.006546342105798825,0.017441086953726717,0.9981794178352478,0.001820582164752227
2026,homotopy,0.5,0.011886575050670338,0.00810142687823201,0.017862517136354568,1.001005258112758,0.0010052581127579785
2026,homotopy,0.75,0.00996581624121571,0.007013957884330957,0.01479882303134386,1.0044213213965607,0.004421321396560707
2026,no_score,0.25,0.012367942743731009,0.006359908622993682,0.054474904598055096,0.9965919864259758,0.0034080135740242046
2026,no_score,0.5,0.01908900108533073,0.011108404816632611,0.09030522315853481,0.9967589857671697,0.003241014232830297
2026,no_score,0.75,0.02268496348431705,0.014227535298883154,0.11314273684703606,0.997870574080362,0.0021294259196380505
