alpha,time,baseline_kmax,baseline_knum,fine_kmax,fine_knum,relative_l2_difference,max_abs_difference_over_peak
1.5,0.25,100.0,16000,120.0,32000,1.002972028274739e-05,4.530244243136186e-06
1.8,0.75,100.0,16000,120.0,32000,2.0548605503119837e-06,8.443593355843891e-07
